Module Code,Module Name,Lvl,Module Coordinator,MAB,Attendance Group,Credits,Artefact Type,Weight,Length,Method of Assessment,Assessment Date,Assessment Week,Valid Deadline Check,Additional Details
M33171,CLOUD COMPUTING,FHEQ 5,Vasileios Adamos,1. TB1 MAB,SMSEP,20,Item 1 - Report (CW),0.5,2500 Words,"Moodle Assignment (individual submission, without Turnitin checks)",13/12/2023,TB1 Teaching (20),,
M33171,CLOUD COMPUTING,FHEQ 5,Vasileios Adamos,1. TB1 MAB,SMSEP,20,Item 2 - Written exam (EX),0.5,1 Hours,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",12/01/2024,TB1 Exam Period (24),jan exams week 1,
M21270,DATA STRUCTURES AND ALGORITHMS,FHEQ 5,Dalin Zhou,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (exam) (EX),0.3,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",08/11/2023,TB1 Teaching (15),ICT,"ICT - 1430-1530,"
M21270,DATA STRUCTURES AND ALGORITHMS,FHEQ 5,Dalin Zhou,1. TB1 MAB,SMSEP,20,Item 2 - Written Exam (EX),0.7,90 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",15/01/2024,TB1 - Directed Activity  / Induction (25),"jan exams week 2 L4,5",
M21269,DATABASE PRINCIPLES,FHEQ 5,Valentin Adamescu,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (group submission, with Turnitin checks)",14/12/2023,TB1 Teaching (20),,GW
M21269,DATABASE PRINCIPLES,FHEQ 5,Valentin Adamescu,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (practical) (CW),0.2,1000 Words,LAB/Practical,15/12/2023,TB1 Teaching (20),,Individual - Marked in the lab session but submitted on last day of term as evidence (not re-marked)
M21269,DATABASE PRINCIPLES,FHEQ 5,Valentin Adamescu,1. TB1 MAB,SMSEP,20,Item 3 - Set exercise (exam) (EX),0.3,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",17/01/2024,TB1 - Directed Activity  / Induction (25),"jan exams week 2 L4,5",
M33172,ENTERPRISE NETWORKING,FHEQ 5,Ioannis kagalidis,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (exam) (EX),0.3,1 Hours,LAB/Practical,11/01/2024,TB1 Exam Period (24),jan exams week 1,Has to be in A2.Net
M33172,ENTERPRISE NETWORKING,FHEQ 5,Ioannis kagalidis,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (coursework) (CW),0.7,Other,LAB/Practical,14/12/2023,TB1 Teaching (20),,
M23509,FORENSICS FUNDAMENTALS,FHEQ 5,Rahim Taheri,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (exam) (EX),0.4,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",17/01/2024,TB1 - Directed Activity  / Induction (25),"jan exams week 2 L4,5",
M23509,FORENSICS FUNDAMENTALS,FHEQ 5,Rahim Taheri,1. TB1 MAB,SMSEP,20,Item 2 - Report (CW),0.6,3000 Words,,30/11/2023,TB1 Teaching (18),,
M30202,NETWORK SERVERS AND SERVICES,FHEQ 5,Linda Yang,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.6,3000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",12/12/2023,TB1 Teaching (20),,
